split,accuracy,precision,recall,f1,error,loss,runtime
train,0.8666913580246913,0.8823832329162161,0.8461728395061728,0.8638987622576824,0.13330864197530867,0.37571658921536105,492.0203483104706
val,0.8611111111111112,0.8867206092336982,0.828,0.8563548609515054,0.13888888888888884,0.37861811571651033,54.65783715248108
test,0.8626,0.8725852856555693,0.8492,0.8607338333671194,0.13739999999999997,0.37622022190093996,60.73911952972412
